시각,파일명,원본포맷,결과,크기(KB),비고
11:46:04,01-AS9100 AQMS 구축 컨설팅 구축 소개-M&C Electronics-20260414.ppt,.ppt,성공,436.8,
11:46:04,03-KSQ9100 QMS 번호 체계.pptx,.ppt,건너뜀,,이미 변환됨
11:46:04,03-QMS.ppt,.ppt,건너뜀,,이미 변환됨
11:46:04,03-QMS.pptx,.ppt,건너뜀,,이미 변환됨
11:46:04,acceptance critieria 구하는 법.ppt,.ppt,성공,770.6,
11:46:04,-품질 목표.pptx,.ppt,건너뜀,,이미 변환됨
11:46:05,acceptance critieria 구하는 법.ppt,.ppt,성공,770.6,
11:46:05,Excel을 이용한 FAIR 작성 방법.ppt,.ppt,성공,2185.2,
11:46:05,FAIR작성 요령.pptx,.ppt,건너뜀,,이미 변환됨
11:46:05,MBDMacro사용법.pptx,.ppt,건너뜀,,이미 변환됨
11:46:05,작성법.pptx,.ppt,건너뜀,,이미 변환됨
11:46:05,초도작성ERP순서_REV B.ppt,.ppt,성공,5160.8,
11:46:05,Step 1) QPI Download for FAIR.pptx,.ppt,건너뜀,,이미 변환됨
11:46:05,Step 2) FAIR Guide.pptx,.ppt,건너뜀,,이미 변환됨
11:46:09,YM-(QMM Manual)-231129.doc,.doc,성공,367.4,
11:46:09,WA-1020 QP( 시정및예방조치관리 절차서).doc,.doc,건너뜀,,이미 변환됨
11:46:09,WA-1020 QP( 시정및예방조치관리 절차서).docx,.doc,건너뜀,,이미 변환됨
11:46:09,시정조치 작성용.doc,.doc,성공,27,
11:46:09,WA-1020-1 QI 고객불만족 관리지침서.doc,.doc,성공,48.7,
11:46:10,WA-410 QI(조직상황 관리지침서).doc,.doc,성공,45.4,
11:46:10,WA-500 QI(조직 및 업무분장 지침서).doc,.doc,성공,62.6,
11:46:11,WA-610 QI(리스크관리 지침서).doc,.doc,성공,45.9,
11:46:11,WA-620 QI (품질지표 관리지침서).doc,.doc,성공,43.2,
11:46:11,WA-713 QI(기반구조 및 생산 설비 관리 지침서).doc,.doc,성공,39.9,
11:46:12,WA-715 QI(계측기 관리 지침서).doc,.doc,성공,1607.6,
11:46:12,WA-716 QI 지식 관리 지침서.doc,.doc,성공,1588.9,
11:46:13,WA-720 QP(교육훈련 및 자격인증 절차서).doc,.doc,성공,92.6,
11:46:13,WA-720 QPF-08(CERTIFICATE)-XXXXX.docx,.doc,건너뜀,,이미 변환됨
11:46:13,WA-720 QPF-08(CERTIFICATE).docx,.doc,건너뜀,,이미 변환됨
11:46:13,WA-730 QI(인식 관리지침서).doc,.doc,성공,38,
11:46:13,WA-740 QP(의사소통 지침서).doc,.doc,성공,48,
11:46:14,WA-750 QP(문서관리 절차서).doc,.doc,성공,51.5,
11:46:14,WA-750 QPF-01 (표준 양식).doc,.doc,성공,85.9,
11:46:15,WA-750-1 QI(도면 및 기술자료 관리 지침서).doc,.doc,성공,44.2,
11:46:15,YM-753 QI(기록관리 절차서).doc,.doc,성공,42.7,
11:46:15,WA-810 QP 생산 실현 절차서 - 복사본.doc,.doc,성공,53.1,
11:46:16,WA-810 QP 생산 실현 절차서.doc,.doc,성공,51,
11:46:16,WA-810-01 QI(제조공정서 작성지침서).doc,.doc,성공,95.2,
11:46:17,WA-812 QI(형상관리 지침서).doc,.doc,성공,43,
11:46:17,WA-813 QI 제품안전관리 지침서-OK.doc,.doc,성공,53.1,
11:46:18,WA-814 QI(위조품예방관리 지침서).doc,.doc,성공,37.1,
11:46:18,WA-820 QP(영업관리 절차서).doc,.doc,성공,45.1,
11:46:19,WA-840 QP(구매관리 절차서) (복구됨).doc,.doc,성공,55.5,
11:46:19,WA-841 QI SQAR-01 rev_New.doc,.doc,성공,55.6,
11:46:19,WA-841 QI(협력업체관리 지침서)-영문.doc,.doc,성공,54.5,
11:46:20,WA-850 QP 제품제공 관리절차서.doc,.doc,성공,34.4,
11:46:20,WA-850-1 QI 생산관리 지침서) -영문.doc,.doc,성공,43.3,
11:46:21,WA-850-04 QI 치공구 관리지침서) -영문.doc,.doc,성공,81.8,
11:46:21,WA-851.1 QI 장비, 치공구 및 소프트웨어 관리 지침서.doc,.doc,성공,1663.7,
11:46:22,WA-851.2 QI 특수공정 관리 지침서.doc,.doc,성공,2124.6,
11:46:23,WA-851.3 QI 초도품 검사 지침서.doc,.doc,성공,2048.9,
11:46:23,9102B-Form-1.docx,.doc,건너뜀,,이미 변환됨
11:46:23,9102C-Form-1.docx,.doc,건너뜀,,이미 변환됨
11:46:23,9102C-Form-2.docx,.doc,건너뜀,,이미 변환됨
11:46:23,9102C-Form-3.docx,.doc,건너뜀,,이미 변환됨
11:46:23,첨부 2. 초도 기록 작성 샘플_803W2401-003 Rev 01.doc,.doc,성공,702.5,
11:46:23,MBD IP작성요령.doc,.doc,성공,703.1,
11:46:24,WA-852 QI 제품 식별 및 추적성관리 지침서.doc,.doc,성공,38.8,
11:46:24,WA-852-1 QI(인장관리 지침서).docx,.doc,건너뜀,,이미 변환됨
11:46:24,WA-853 QI(고객자산관리).doc,.doc,성공,41,
11:46:24,WA-854 QI(취급, 보관, 포장, 인도 관리지침서).doc,.doc,성공,40,
11:46:25,WA-854 QI(취급, 보관, 포장, 인도).doc,.doc,성공,303.5,
11:46:25,WA-854 QIF-01(Certificate of Conformity).docx,.doc,건너뜀,,이미 변환됨
11:46:25,WA-840-a QI(3정 5행 지침서).doc,.doc,성공,42.8,
11:46:26,WA-854-1 QI(FOD 예방 지침서).doc,.doc,성공,56.1,
11:46:26,WA-854-c QI(제품저장 관리 지침서).doc,.doc,성공,40.4,
11:46:26,WA-854-e QI, 시효성자재 관리 지침서.doc,.doc,성공,51.7,
11:46:27,WA-855 QI(납품후 활동).doc,.doc,성공,44.3,
11:46:27,WA-856 QI (변경점 관리지침서).doc,.doc,성공,1729.5,
11:46:28,WA-860 QI(검사 업무 지침서).doc,.doc,성공,58.5,
11:46:28,WA-860 QI(검사업무 지침서)-영문화.doc,.doc,성공,306.6,
11:46:28,WA-860 QI(검사업무 지침서).doc,.doc,성공,306.6,
11:46:28,WA-860 QIF-02(수령검사 기록서).doc,.doc,성공,23.7,
11:46:29,WA-870 QP (부적합품관리 절차서).doc,.doc,성공,58,
11:46:29,WA-912 QI(고객만족도 관리지침서).doc,.doc,성공,1611.2,
11:46:30,WA-913 QI(경영분석 관리지침서).doc,.doc,성공,52,
11:46:30,WA-920 QP(내부심사 절차서).doc,.doc,성공,56.6,
11:46:31,WA-930 QP (경영검토 관리절차서).doc,.doc,성공,46.7,
11:46:35,WA-750 QPF (양식관리대장 점검).xls,.xls,성공,27.9,
11:46:35,WA-1020 QPF-01(시정 및 예방 조치 요구서).xlsx,.xls,건너뜀,,이미 변환됨
11:46:35,WA-1020 QPF-02(시정 및 예방조치관리대장).xlsx,.xls,건너뜀,,이미 변환됨
11:46:35,WA-1020-1 QIF-01(고객불만족접수대장).xls,.xls,건너뜀,,이미 변환됨
11:46:35,WA-1020-1 QIF-02(고객불만족조치내용).xls,.xls,성공,27.2,
11:46:35,WA-1020-1 QIF-01(고객불만족접수대장).xlsx,.xls,건너뜀,,이미 변환됨
11:46:35,WA-410 QIF-01(조직 내외부 이슈).xlsx,.xls,건너뜀,,이미 변환됨
11:46:35,WA-420 QPF-01이해관계자 니즈 및 기대).xls,.xls,성공,193.4,
11:46:35,WA-500 QIF-01(업무분장표).xlsx,.xls,건너뜀,,이미 변환됨
11:46:35,WA-610 QIF-01(리스크 관리대장).xlsx,.xls,건너뜀,,이미 변환됨
11:46:35,첨부 리스크 평가방법 및 처리기준.xlsx,.xls,건너뜀,,이미 변환됨
11:46:36,WA-620 QIF-01 프로세스 성과지표 현황.xls,.xls,성공,14.7,
11:46:36,첨부, WA-620 QI(품질목표 달성 계획서)-구매.xls,.xls,성공,15.7,
11:46:36,첨부, WA-620 QI(품질목표 달성 계획서)-영업.xls,.xls,성공,16.9,
