# format_apply.py  실행: 2026-04-18 14:27:11
# 레퍼런스: C:\Users\MISTOP\Documents\02_AI디지털전환\AS9100D문서관리\06_산출물_문서\Reference Doc\reference.docx
# 대상: C:\Users\MISTOP\Documents\02_AI디지털전환\AS9100D문서관리\AS9100 컨설팅 자료  (63건)
상태,스타일추가,교체건수,파일,오류
ok,26,2,"절차서-form -AS9100\YM-(QMM Manual)-231129.docx",""
ok,31,2,"절차서-form -AS9100\WA-1020 QP(시정및예방조치관리 절차서)\WA-1020 QP( 시정및예방조치관리 절차서).docx",""
ok,44,1,"절차서-form -AS9100\WA-1020 QP(시정및예방조치관리 절차서)\시정조치 작성용.docx",""
ok,31,2,"절차서-form -AS9100\WA-1020-1 QI(고객불만족 관리지침서)\WA-1020-1 QI 고객불만족 관리지침서.docx",""
ok,32,0,"절차서-form -AS9100\WA-410 QI(조직상황관리지침서)\WA-410 QI(조직상황 관리지침서).docx",""
ok,36,2,"절차서-form -AS9100\WA-500 QI(조직및 업무분장지침서)\WA-500 QI(조직 및 업무분장 지침서).docx",""
ok,29,2,"절차서-form -AS9100\WA-610 QI(리스크 관리지침서)\WA-610 QI(리스크관리 지침서).docx",""
ok,29,2,"절차서-form -AS9100\WA-620 QI(품질목표 관리지침서)\WA-620 QI (품질지표 관리지침서).docx",""
ok,34,2,"절차서-form -AS9100\WA-713 QI(기반구조 및 생산설비관리 지침서)\WA-713 QI(기반구조 및 생산 설비 관리 지침서).docx",""
ok,36,2,"절차서-form -AS9100\WA-715 QI(계측기 관리 지침서)\WA-715 QI(계측기 관리 지침서).docx",""
ok,36,2,"절차서-form -AS9100\WA-716 QI(지식 관리 지침서)\WA-716 QI 지식 관리 지침서.docx",""
ok,32,2,"절차서-form -AS9100\WA-720 QP(교육훈련 및 자격인증 절차서)\WA-720 QP(교육훈련 및 자격인증 절차서).docx",""
ok,45,1,"절차서-form -AS9100\WA-720 QP(교육훈련 및 자격인증 절차서)\WA-720 QPF-08(CERTIFICATE)-XXXXX.docx",""
ok,45,1,"절차서-form -AS9100\WA-720 QP(교육훈련 및 자격인증 절차서)\WA-720 QPF-08(CERTIFICATE).docx",""
ok,32,3,"절차서-form -AS9100\WA-730 QI(인식 관리지침서)\WA-730 QI(인식 관리지침서).docx",""
ok,32,3,"절차서-form -AS9100\WA-740 QI(의사소통 지침서)\WA-740 QP(의사소통 지침서).docx",""
ok,32,2,"절차서-form -AS9100\WA-750 QP(문서관리절차서)\WA-750 QP(문서관리 절차서).docx",""
ok,26,2,"절차서-form -AS9100\WA-750 QP(문서관리절차서)\WA-750 QPF-01 (표준 양식).docx",""
ok,32,2,"절차서-form -AS9100\WA-750-1 QI(도면및 기술자료 관리지침서)\WA-750-1 QI(도면 및 기술자료 관리 지침서).docx",""
ok,32,2,"절차서-form -AS9100\WA-753 QI(기록관리지침서)\YM-753 QI(기록관리 절차서).docx",""
ok,34,2,"절차서-form -AS9100\WA-810 QP(생산 실현 절차서)\WA-810 QP 생산 실현 절차서 - 복사본.docx",""
ok,34,2,"절차서-form -AS9100\WA-810 QP(생산 실현 절차서)\WA-810 QP 생산 실현 절차서.docx",""
ok,31,2,"절차서-form -AS9100\WA-810-1 QI(작업 공정서 관리지침서)\WA-810-01 QI(제조공정서 작성지침서).docx",""
ok,31,2,"절차서-form -AS9100\WA-812 QI(형상관리 지침서)\WA-812 QI(형상관리 지침서).docx",""
ok,31,3,"절차서-form -AS9100\WA-813 QI (제품안전 관리지침서)\WA-813 QI 제품안전관리 지침서-OK.docx",""
ok,31,1,"절차서-form -AS9100\WA-814 QI(위조품예방관리 지침서)\WA-814 QI(위조품예방관리 지침서).docx",""
ok,31,2,"절차서-form -AS9100\WA-820 QP(영업관리 절차서)\WA-820 QP(영업관리 절차서).docx",""
ok,31,2,"절차서-form -AS9100\WA-840 QP(구매관리 절차서)\WA-840 QP(구매관리 절차서) (복구됨).docx",""
ok,46,2,"절차서-form -AS9100\WA-841 QI(협력업체 관리 지침서)\WA-841 QI SQAR-01 rev_New.docx",""
ok,31,2,"절차서-form -AS9100\WA-841 QI(협력업체 관리 지침서)\WA-841 QI(협력업체관리 지침서)-영문.docx",""
ok,34,2,"절차서-form -AS9100\WA-850 QP(제품제공 관리절차서)\WA-850 QP 제품제공 관리절차서.docx",""
ok,34,2,"절차서-form -AS9100\WA-850-1 QI(생산관리 지침서)\WA-850-1 QI 생산관리 지침서) -영문.docx",""
ok,34,2,"절차서-form -AS9100\WA-850-4 QI(치공구 관리지침서)\WA-850-04 QI 치공구 관리지침서) -영문.docx",""
ok,36,2,"절차서-form -AS9100\WA-851.1 QI(장비,치공구 및 소프트웨어 관리지침서)\WA-851.1 QI 장비, 치공구 및 소프트웨어 관리 지침서.docx",""
ok,36,2,"절차서-form -AS9100\WA-851.2 QI (특수공정 관리지침서)\WA-851.2 QI 특수공정 관리 지침서.docx",""
ok,36,2,"절차서-form -AS9100\WA-851.3 QI (초도품 검사 지침서)\WA-851.3 QI 초도품 검사 지침서.docx",""
ok,36,2,"절차서-form -AS9100\WA-852 QI(제품식별 및 추적성관리)\WA-852 QI 제품 식별 및 추적성관리 지침서.docx",""
ok,40,2,"절차서-form -AS9100\WA-852-1 QI(인장 관리 지침서)\WA-852-1 QI(인장관리 지침서).docx",""
ok,32,2,"절차서-form -AS9100\WA-853 QI(고객자산관리)\WA-853 QI(고객자산관리).docx",""
ok,32,2,"절차서-form -AS9100\WA-854 QI(취급, 보관, 포장, 인도 지침서)\WA-854 QI(취급, 보관, 포장, 인도 관리지침서).docx",""
ok,44,2,"절차서-form -AS9100\WA-854 QI(취급, 보관, 포장, 인도 지침서)\WA-854 QI(취급, 보관, 포장, 인도).docx",""
ok,39,1,"절차서-form -AS9100\WA-854 QI(취급, 보관, 포장, 인도 지침서)\WA-854 QIF-01(Certificate of Conformity).docx",""
ok,31,2,"절차서-form -AS9100\WA-854-a QI(3정5행 지침서)\WA-840-a QI(3정 5행 지침서).docx",""
